Date,Mkt,Series,Sector,Symbol,NameOfTheSecurityInNse,PrevClose,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeValue,TradeQty,IndSec,CoprInd,Trades,52W_High,52W_Low
2015-01-01,N,EQ,Cement,ACC,ACC LIMITED,1400.15,1400.15,1411,1397.95,1403.55,141976410.6,101070,Y, ,3846,1564.65,970.15
2015-01-01,N,EQ,Cement,AMBUJACEM,AMBUJA CEMENTS LTD,228.85,229,229.45,227.5,227.75,47553838,208341,Y, ,3408,243.8,150.1
2015-01-01,N,EQ,FMCG,ASIANPAINT,ASIAN PAINTS LIMITED,752.3,751.1,754.5,747,749.15,213695601.5,284935,Y, ,13485,809.6,460.2
2015-01-01,N,EQ,FinSrvc,AXISBANK,AXIS BANK LIMITED,502.4,502.65,504,499.05,503.05,677990172.3,1351985,Y, ,17713,2043.05,369.05
2015-01-01,N,EQ,Auto,BAJAJ-AUTO,BAJAJ AUTO LIMITED,2432.45,2431,2458.3,2428.45,2452.15,178387129.2,72928,Y, ,5234,2695,1793.2
2015-01-01,N,EQ,FinSrvc,BANKBARODA,BANK OF BARODA,1083.9,1080.1,1088.8,1072.75,1083.05,380837427.5,351338,Y, ,10320,1124.95,511.15
2015-01-01,N,EQ,Telecom,BHARTIARTL,BHARTI AIRTEL LIMITED,352.7,354.4,364.9,351.65,362.9,795769691.5,2217263,Y, ,25445,420,281.9
2015-01-01,N,EQ,CapGoods,BHEL,BHEL,265.25,265.6,269.95,263.55,268.55,838008895.5,3129379,Y, ,33458,291.5,145.55
2015-01-01,N,EQ,Petro,BPCL,BHARAT PETROLEUM CORP  LT,646,648.9,657.5,642.2,654.2,313566958.2,482167,Y, ,9126,785,316.05
2015-01-01,N,EQ,Petro,CAIRN,CAIRN INDIA LIMITED,240.55,238.15,239.95,237,238.95,166630290,698560,Y, ,9090,386,228.05
2015-01-01,N,EQ,Pharma,CIPLA,CIPLA LTD,626.4,626.5,634.8,626.5,628.4,376407400.6,596787,Y, ,9333,673,366.5
2015-01-01,N,EQ,Metals,COALINDIA,COAL INDIA LTD,383.85,383,383.45,378.55,380.05,205335249.8,540225,Y, ,8028,423.7,240.3
2015-01-01,N,EQ,Housing,DLF,DLF LIMITED,137.4,137,138.15,136,137.4,419360971.1,3057025,Y, ,16533,242.95,100.1
2015-01-01,N,EQ,Pharma,DRREDDY,DR. REDDY'S LABORATORIES,3246.2,3230,3235,3204,3210.5,243331916.9,75642,Y, ,4935,3666.25,2246.5
2015-01-01,N,EQ,Petro,GAIL,GAIL (INDIA) LTD,444.8,443,445.15,441,442.6,403390050.8,911997,Y, ,5468,551.9,332.3
2015-01-01,N,EQ,Cement,GRASIM,GRASIM INDUSTRIES LTD,3385.05,3394,3407.9,3370,3402.5,139674331.3,41137,Y, ,2010,3789,2426.35
2015-01-01,N,EQ,InfoTech,HCLTECH,HCL TECHNOLOGIES LTD,1596.9,1599,1611.65,1585.6,1606.8,536186206.7,334123,Y, ,14239,1776.25,1234.1
2015-01-01,N,EQ,FinSrvc,HDFC,HDFC LTD,1135.9,1130,1131.15,1120.1,1124,451464950.4,401576,Y, ,11804,1177.8,755
2015-01-01,N,EQ,FinSrvc,HDFCBANK,HDFC BANK LTD,951.6,951,954.4,945.05,952.05,841151918.1,886235,Y, ,12603,973.95,616.8
